,freqs,ampl_over_asd,phi_inj,phi_npe_map,phi_npe_post_gr,phi_npe_post_mod,phi_npe_post
0,10.0,2.1091841543993432e+20,100.0561979761038,91.72304644630835,42.718416519446365,57.68309489052133,100.4015114099677
1,10.032013775350212,2.358213460550756e+20,99.65982988947816,91.32424427058066,42.41627861208235,57.60396057847572,100.02023919055807
2,10.064130038881636,2.6089538584559203e+20,99.2643863962432,90.92718133871418,42.115820892628555,57.52362210858624,99.6394430012148
3,10.096349118697642,2.860366337962316e+20,98.86986976191815,90.53183004366346,41.81703432604847,57.4421070569867,99.25914138303517
4,10.128671343951972,3.1035919488648e+20,98.47628221954012,90.138199587777,41.51990992544389,57.35945219185554,98.87936211729942
5,10.161097044852108,3.348973865528667e+20,98.083625969694,89.74628076870631,41.224438751782536,57.27564832114817,98.50008707293071
6,10.193626552662666,3.5879146450807646e+20,97.69190318054316,89.35605518175446,40.930611913664784,57.19074600110993,98.1213579147747
7,10.226260199708756,3.8234459387887374e+20,97.30111598786318,88.96752282692144,40.63842056706264,57.10475442378542,97.74317499084806
8,10.25899831937938,4.058204188981008e+20,96.91126649507662,88.5806745018588,40.347855915062375,57.01767358917466,97.36552950423703
9,10.291841246130861,4.283508776290144e+20,96.52235677329121,88.1955102065665,40.058909207618505,56.929554053523006,96.9884632611415
10,10.324789315490229,4.507816201738683e+20,96.13438886133724,87.81201153634763,39.771571741312805,56.84040041285273,96.61197215416553
11,10.357842864058659,4.72668208795198e+20,95.74736476581026,87.43016928885369,39.48583485909008,56.75021726318617,96.23605212227625
12,10.391002229514935,4.9398145029971214e+20,95.36128646111231,87.04999266643318,39.20168995002449,56.65903218065715,95.86072213068164
13,10.42426775061886,5.150950223518971e+20,94.97615588949708,86.67145406204067,38.919128449070726,56.566877337421786,95.48600578649251
14,10.457639767214737,5.3536421693716896e+20,94.5919749611163,86.29456267802463,38.63814183681902,56.473766521547006,95.11190835836602
15,10.491118620234836,5.553455855525344e+20,94.20874555406797,85.9193093120366,38.358721639251314,56.37969054098821,94.73841218023952
16,10.5247046517029,5.748792321567468e+20,93.82646951444634,85.54567555937962,38.08085942750533,56.284704548013025,94.36556397551836
17,10.558398204737593,5.937810470965175e+20,93.44514865639324,85.17367062240217,37.80454681763215,56.1888269267107,93.99337374434285
18,10.592199623556043,6.124200425739715e+20,93.06478476215193,84.80327609640732,37.529775470353876,56.092025504925104,93.62180097527897
19,10.626109253477354,6.30421619942619e+20,92.68537958212279,84.43448277904658,37.25653709082898,55.99435083890157,93.25088792973054
20,10.660127440926118,6.48045697387271e+20,92.30693483491939,84.06729987266841,36.9848234284163,55.895848888863156,92.88067231727945
21,10.694254533435956,6.653299782734584e+20,91.92945220742824,83.70169056787896,36.71462627644405,55.79648748265373,92.51111375909778
22,10.728490879653096,6.820163627813958e+20,91.55293335486795,83.33770087642056,36.445937471966985,55.69631258049634,92.14225005246333
23,10.762836829339896,6.984521015841279e+20,91.17737990085266,82.9752663818539,36.178748895544054,55.59530579830175,91.77405469384581
24,10.797292733378438,7.144240400654341e+20,90.80279343745485,82.61439628652748,35.91305247099622,55.49353607640457,91.40658854740079
25,10.831858943774122,7.300184370831402e+20,90.42917552527129,82.25509979278976,35.6488401651869,55.390966646626325,91.03980681181322
26,10.866535813659238,7.453769010936243e+20,90.05652769349012,81.8973584959438,35.38610398778657,55.28765266123469,90.67375664902126
27,10.901323697296585,7.602096158378481e+20,89.68485143995896,81.54117239598959,35.12483599105408,55.183598716251964,90.30843470730605
28,10.936222950083105,7.748351361090368e+20,89.31414823125607,81.18652308823019,34.86502826959315,55.07880021565586,89.94382848524901
29,10.971233928553483,7.891376153831114e+20,88.94441950276173,80.83342897736254,34.606672960142504,54.973303119669396,89.5799760798119
30,11.00635699038381,8.030995547226138e+20,88.57566665873176,80.48184405164429,34.34976224135124,54.86710283227029,89.21686507362153
31,11.041592494395248,8.168816727330441e+20,88.20789107237265,80.13180512046932,34.09428833354967,54.76021773754776,88.85450607109743
32,11.076940800557663,8.302835706110707e+20,87.84109408591843,79.78327537444375,33.84024349852894,54.65266621959101,88.49290971811996
33,11.112402269993323,8.434939568519601e+20,87.47527701070794,79.43625481356757,33.5876200393199,54.54444368237776,88.13206372169766
34,11.147977264980597,8.564920298244814e+20,87.11044112726577,79.09074343784079,33.33641029998022,54.43560987419795,87.77202017417818
35,11.183666148957633,8.691942026991441e+20,86.74658768538207,78.74673204491494,33.08660666537116,54.326123430850856,87.41273009622202
36,11.219469286526076,8.817649772340807e+20,86.38371790419646,78.40420223009305,32.83820156094382,54.21603950460411,87.05424106554793
37,11.25538704345482,8.940745067200376e+20,86.02183297228105,78.0631723980721,32.59118745251342,54.10534890341313,86.69653635592655
38,11.291419786683706,9.062127691922753e+20,85.66093404772647,77.72360573945818,32.345556846059594,53.99407460738942,86.33963145344902
39,11.327567884327289,9.182220114677027e+20,85.30102225822878,77.38552065894824,32.101302287505504,53.88223500062222,85.98353728812772
40,11.363831705678594,9.299768704942191e+20,84.94209870117837,77.04889875184533,31.858416362505842,53.76982548708921,85.62824184959504
41,11.400211621212916,9.416410889257952e+20,84.58416444374856,76.71374461932369,31.616891696228844,53.65689202701344,85.27378372324229
42,11.436708002591553,9.531319212757773e+20,84.22722052298816,76.3800398566864,31.37672095316256,53.54340244823878,84.92012340140134
43,11.473321222665641,9.644712879936472e+20,83.87126794591319,76.04777986275917,31.137896836894097,53.429411903032886,84.56730873992699
