,freqs,ampl_over_asd,phi_inj,phi_npe_map,phi_npe_post_gr,phi_npe_post_mod,phi_npe_post
0,10.0,2.1091841543993432e+20,97.88221713985008,99.24856301795468,189.032930740245,-90.07666181077258,98.95626892947243
1,10.032013775350212,2.358213460550756e+20,97.31328570473971,98.68284899161657,188.25342295663478,-89.90887827882688,98.3445446778079
2,10.064130038881636,2.6089538584559203e+20,96.74771293707627,98.12037576919035,187.47784034754358,-89.740806706483,97.73703364106058
3,10.096349118697642,2.860366337962316e+20,96.1854790360984,97.56110812454655,186.7061626341762,-89.57242909121604,97.13373354296016
4,10.128671343951972,3.1035919488648e+20,95.62656431380775,97.00504605768518,185.93836964389675,-89.40377543723415,96.5345942066626
5,10.161097044852108,3.348973865528667e+20,95.07094919406175,96.45217195554147,185.17444130964827,-89.23483374285406,95.93960756679421
6,10.193626552662666,3.5879146450807646e+20,94.5186142121009,95.90245059198598,184.4143576694145,-89.06565801565046,95.34869965376404
7,10.226260199708756,3.8234459387887374e+20,93.96954001398481,95.35589077355107,183.65809886566709,-88.89622425225679,94.7618746134103
8,10.25899831937938,4.058204188981008e+20,93.42370735597594,94.81245727410725,182.90564514479993,-88.72655645603962,94.17908868876032
9,10.291841246130861,4.283508776290144e+20,92.88109710411067,94.27212367405741,182.1569768565985,-88.55666062784053,93.60031622875798
10,10.324789315490229,4.507816201738683e+20,92.34169023338558,93.73488997340156,181.41207445368946,-88.38653076681791,93.02554368687154
11,10.357842864058659,4.72668208795198e+20,91.80546782741315,93.2007297525426,180.67091849099776,-88.21623288222969,92.45468560876807
12,10.391002229514935,4.9398145029971214e+20,91.2724110778821,92.66963420494814,179.93348962520855,-88.04570696565955,91.887782659549
13,10.42426775061886,5.150950223518971e+20,90.74250128389016,92.14157691102109,179.19976861422916,-87.87500102384055,91.3247675903886
14,10.457639767214737,5.3536421693716896e+20,90.2157198513247,91.6165402576967,178.46973631665804,-87.70412105761433,90.76561525904371
15,10.491118620234836,5.553455855525344e+20,89.69204829260939,91.09450663191025,177.74337369126746,-87.53309107034737,90.2102826209201
16,10.5247046517029,5.748792321567468e+20,89.17146822570456,90.57545842059697,177.02066179644623,-87.36189906035642,89.65876273608981
17,10.558398204737593,5.937810470965175e+20,88.65396137400508,90.05938681722452,176.30158178970686,-87.19053902679988,89.11104276290698
18,10.592199623556043,6.124200425739715e+20,88.13950956556427,89.54626540219577,175.5861149271419,-87.01904697472749,88.5670679524144
19,10.626109253477354,6.30421619942619e+20,87.62809473252256,89.03608536897836,174.8742425629176,-86.84744090666415,88.02680165625345
20,10.660127440926118,6.48045697387271e+20,87.11969891068806,88.5288202979752,174.16594614874913,-86.67570282008498,87.49024332866415
21,10.694254533435956,6.653299782734584e+20,86.61430423889078,88.0244613826539,173.46120723339132,-86.50386271919811,86.95734451419321
22,10.728490879653096,6.820163627813958e+20,86.11189295863122,87.5229910099497,172.76000746213143,-86.33190860232028,86.42809885981114
23,10.762836829339896,6.984521015841279e+20,85.6124474132347,87.02438276026555,172.06232857627302,-86.15985247113477,85.90247610513825
24,10.797292733378438,7.144240400654341e+20,85.11595004762796,86.52862782706903,171.36815241263324,-85.98774233237461,85.38041008025863
25,10.831858943774122,7.300184370831402e+20,84.62238340762774,86.03571740382779,170.67746090304615,-85.81555418267325,84.8619067203729
26,10.866535813659238,7.453769010936243e+20,84.13173013940087,85.54562507094474,169.99023607384717,-85.64328802203073,84.34694805181644
27,10.901323697296585,7.602096158378481e+20,83.64397298921247,85.0583332153551,169.30646004540347,-85.47096785381353,83.83549219158994
28,10.936222950083105,7.748351361090368e+20,83.15909480239289,84.57383303052653,168.62611503158257,-85.29860567970496,83.32750935187761
29,10.971233928553483,7.891376153831114e+20,82.677078523401,84.09209809686192,167.9491833392899,-85.12619549886334,82.82298784042656
30,11.00635699038381,8.030995547226138e+20,82.19790719473815,83.61311960782889,167.27564736796631,-84.95374331213031,82.321904055836
31,11.041592494395248,8.168816727330441e+20,81.72156395692195,83.13689756342745,166.60548960910458,-84.7812731228724,81.82421648623217
32,11.076940800557663,8.302835706110707e+20,81.24803204775321,82.66338793099574,165.9386926457621,-84.60877893024798,81.32991371551412
33,11.112402269993323,8.434939568519601e+20,80.77729480164678,82.19258190400141,165.275239152075,-84.43627873678193,80.83896041529306
34,11.147977264980597,8.564920298244814e+20,80.30933564937284,81.72447948244445,164.61511189279258,-84.26377854331588,80.3513333494767
35,11.183666148957633,8.691942026991441e+20,79.84413811752108,81.25905424672776,163.95829372278507,-84.09129035153308,79.867003371252
36,11.219469286526076,8.817649772340807e+20,79.38168582785025,80.79628858378658,163.3047675865829,-83.91880215975027,79.38596542683263
37,11.25538704345482,8.940745067200376e+20,78.92196249687065,80.33617368708856,162.6545165178917,-83.746337971334,78.90817854655769
38,11.291419786683706,9.062127691922753e+20,78.46495193531248,79.87870075010133,162.00752363913446,-83.57389778628423,78.43362585285023
39,11.327567884327289,9.182220114677027e+20,78.01063804770601,79.42382574016302,161.36377216097392,-83.40148160460099,77.96229055637293
40,11.363831705678594,9.299768704942191e+20,77.5590048317424,78.97155746380605,160.7232453818595,-83.22912543133403,77.49411995052547
41,11.400211621212916,9.416410889257952e+20,77.1100363779335,78.521887114498,160.0859266875554,-83.05682326564173,77.02910342191367
42,11.436708002591553,9.531319212757773e+20,76.66371686899966,78.07478827264178,159.4517995506869,-82.8845571049992,76.5672424456877
43,11.473321222665641,9.644712879936472e+20,76.22003057936313,77.63023451864028,158.82084753028695,-82.71237495613948,76.10847257414747
