,b,z_theta,z_ang,det_ppe,res_npe_lower,res_npe_upper,det_npe_lower,det_npe_upper
0,-1,4.40635612805421,2.52895612805421,1.293790987499999,1.0121058225631714,,1.0121058225631714,
1,-3,3.997089835005351,2.1196898350053512,0.11513022749999999,0.9826173186302185,,0.24565432965755463,0.49130865931510925
2,-5,3.665596993761607,1.7881969937616071,0.09160713574999979,0.24717938899993896,0.49435877799987793,0.24717938899993896,0.49435877799987793
3,-7,3.380405547218867,1.5030055472188677,0.00556201723749995,0.06209741160273552,0.12419482320547104,0.06209741160273552,0.12419482320547104
4,-9,3.1060994697087487,1.228699469708749,0.00282487413,0.06395389884710312,0.12790779769420624,0.06395389884710312,0.12790779769420624
5,-11,2.8512904961877545,0.9738904961877548,0.0020351296,0.06114489585161209,0.12228981405496597,0.030572453513741493,0.06114489585161209
6,-13,2.435324939089366,0.5579249390893661,0.00186626925,0.03188193961977959,0.06376396119594574,0.007970484904944897,0.015940990298986435
