,b,z_theta,z_ang,det_ppe,res_npe_lower,res_npe_upper,det_npe_lower,det_npe_upper
0,-1,4.40635612805421,2.52895612805421,1.4076214999999999,0.9774338603019714,,0.9774338603019714,
1,-3,3.997089835005351,2.1196898350053512,0.3310927419999997,0.9907227754592896,,0.4953613877296448,0.9907227754592896
2,-5,3.665596993761607,1.7881969937616071,0.10416281,0.24632586538791656,0.49265173077583313,0.24632586538791656,0.49265173077583313
3,-7,3.380405547218867,1.5030055472188677,0.026251854,0.12366016209125519,0.24732032418251038,0.061830073595047,0.12366016209125519
4,-9,3.1060994697087487,1.228699469708749,0.013227351,0.1254037618637085,0.250807523727417,0.031350940465927124,0.06270188093185425
5,-11,2.8512904961877545,0.9738904961877548,0.009612543500000001,0.12533944845199585,0.2506788969039917,0.031334854662418365,0.06266972422599792
6,-13,2.435324939089366,0.5579249390893661,0.0081166452,0.12531888484954834,0.2506377696990967,0.015664856880903244,0.03132971376180649
