b,beta_median,beta_left,beta_right
-13,2.6852780490988503e-14,-3.7689252268699446e-13,4.618425803280309e-13
-11,1.7618246373255191e-12,-4.3756491446897266e-11,4.971484117499828e-11
-9,3.1772442017847027e-10,-5.81928064172536e-09,6.9467683419337754e-09
-7,9.954244226291487e-08,-1.1357440622521142e-06,1.4599208948799791e-06
-5,0.0001153031657468162,-0.0018943660876691304,0.0023523816635053763
-3,-0.0007145587235193318,-0.03214040882068403,0.028976470730881942
-1,0.2959862642492226,-3.669225293300599,5.099577918134287
