b,beta_median,beta_left,beta_right
-13,1.2443259995419131e-12,-1.5851178288742796e-11,1.8968840766423566e-11
-11,4.1533528314560946e-11,-1.1030277394622498e-09,1.2863605243895856e-09
-9,5.52459170175424e-09,-8.34993804797908e-08,1.0433241880191454e-07
-7,4.938491933656475e-07,-9.630820887410185e-06,1.1890971323022526e-05
-5,0.00013706188397533126,-0.0022341692069822727,0.002682349355277225
-3,0.001297846118223589,-0.08867087925446171,0.08839208962413991
-1,0.012914086163419825,-4.820335419653134,4.394600923550058
